         distance[pc] =    137.00000000000000     
  inclination[degree] =    37.500000000000000     
      number of lines =            7
      number of velos =          152

 line#01  OI         002->001 SYS=04  lam =   63.18367mic  nu =   4744.77749GHz
    line flux [W/m^2] =   4.07131679169109019E-017
    cont flux    [Jy] =    22.470086144629906     
 velo[km/s]      flux[Jy]     fconv[Jy]
  7.423E+00  1.328472E+01  1.328472E+01
  7.663E+00  1.326630E+01  1.326630E+01
  7.904E+00  1.324674E+01  1.324674E+01
  8.147E+00  1.322862E+01  1.322862E+01
  8.391E+00  1.321023E+01  1.321023E+01
  8.636E+00  1.319200E+01  1.319200E+01
  8.882E+00  1.317219E+01  1.317219E+01
  9.130E+00  1.315447E+01  1.315447E+01
  9.379E+00  1.313686E+01  1.313686E+01
  9.630E+00  1.312113E+01  1.312113E+01
  9.882E+00  1.310501E+01  1.310501E+01
  1.014E+01  1.309065E+01  1.309065E+01
  1.039E+01  1.307661E+01  1.307661E+01
  1.065E+01  1.306496E+01  1.306496E+01
  1.091E+01  1.305333E+01  1.305333E+01
  1.117E+01  1.304342E+01  1.304342E+01
  1.143E+01  1.303331E+01  1.303331E+01
  1.170E+01  1.302378E+01  1.302378E+01
  1.196E+01  1.301552E+01  1.301552E+01
  1.223E+01  1.300746E+01  1.300746E+01
  1.250E+01  1.300057E+01  1.300057E+01
  1.278E+01  1.299261E+01  1.299261E+01
  1.305E+01  1.298616E+01  1.298616E+01
  1.333E+01  1.297834E+01  1.297834E+01
  1.361E+01  1.297105E+01  1.297105E+01
  1.390E+01  1.296422E+01  1.296422E+01
  1.419E+01  1.295734E+01  1.295734E+01
  1.448E+01  1.295129E+01  1.295129E+01
  1.478E+01  1.294453E+01  1.294453E+01
  1.508E+01  1.294028E+01  1.294028E+01
  1.538E+01  1.293402E+01  1.293402E+01
  1.569E+01  1.292971E+01  1.292971E+01
  1.601E+01  1.292558E+01  1.292558E+01
  1.633E+01  1.292111E+01  1.292111E+01
  1.666E+01  1.291793E+01  1.291793E+01
  1.700E+01  1.291300E+01  1.291300E+01
  1.735E+01  1.291028E+01  1.291028E+01
  1.771E+01  1.290559E+01  1.290559E+01
  1.808E+01  1.290241E+01  1.290241E+01
  1.848E+01  1.289900E+01  1.289900E+01
  1.890E+01  1.289544E+01  1.289544E+01
  1.937E+01  1.289248E+01  1.289248E+01
  2.000E+01  1.288853E+01  1.288853E+01

 line#03  CII        002->001 SYS=01  lam =  157.74093mic  nu =   1900.53690GHz
    line flux [W/m^2] =   1.47452718409887059E-017
    cont flux    [Jy] =    12.010534536716445     
 velo[km/s]      flux[Jy]     fconv[Jy]
  1.000E+99  1.201053E+01  1.201053E+01
 -2.000E+01  1.201336E+01  1.201336E+01
 -1.937E+01  1.201362E+01  1.201362E+01
 -1.890E+01  1.201383E+01  1.201383E+01
 -1.848E+01  1.201404E+01  1.201404E+01
 -1.808E+01  1.201424E+01  1.201424E+01
 -1.771E+01  1.201445E+01  1.201445E+01
 -1.735E+01  1.201469E+01  1.201469E+01
 -1.700E+01  1.201496E+01  1.201496E+01
 -1.666E+01  1.201527E+01  1.201527E+01
 -1.633E+01  1.201561E+01  1.201561E+01
 -1.601E+01  1.201599E+01  1.201599E+01
 -1.569E+01  1.201638E+01  1.201638E+01
 -1.538E+01  1.201680E+01  1.201680E+01
 -1.508E+01  1.201723E+01  1.201723E+01
 -1.478E+01  1.201767E+01  1.201767E+01
 -1.448E+01  1.201812E+01  1.201812E+01
 -1.419E+01  1.201859E+01  1.201859E+01
 -1.390E+01  1.201908E+01  1.201908E+01
 -1.361E+01  1.201960E+01  1.201960E+01
 -1.333E+01  1.202013E+01  1.202013E+01
 -1.305E+01  1.202069E+01  1.202069E+01
 -1.278E+01  1.202127E+01  1.202127E+01
 -1.250E+01  1.202187E+01  1.202187E+01
 -1.223E+01  1.202252E+01  1.202252E+01
 -1.196E+01  1.202322E+01  1.202322E+01
 -1.170E+01  1.202399E+01  1.202399E+01
 -1.143E+01  1.202482E+01  1.202482E+01
 -1.117E+01  1.202573E+01  1.202573E+01
 -1.091E+01  1.202670E+01  1.202670E+01
 -1.065E+01  1.202774E+01  1.202774E+01
 -1.039E+01  1.202884E+01  1.202884E+01
 -1.014E+01  1.203000E+01  1.203000E+01
 -9.882E+00  1.203123E+01  1.203123E+01
 -9.630E+00  1.203253E+01  1.203253E+01
 -9.379E+00  1.203391E+01  1.203391E+01
 -9.130E+00  1.203538E+01  1.203538E+01
 -8.882E+00  1.203696E+01  1.203696E+01
 -8.636E+00  1.203866E+01  1.203866E+01
 -8.391E+00  1.204050E+01  1.204050E+01
 -8.147E+00  1.204247E+01  1.204247E+01
 -7.904E+00  1.204459E+01  1.204459E+01
 -7.663E+00  1.204685E+01  1.204685E+01
 -7.423E+00  1.204926E+01  1.204926E+01
 -7.184E+00  1.205184E+01  1.205184E+01
 -6.946E+00  1.205464E+01  1.205464E+01
 -6.709E+00  1.205770E+01  1.205770E+01
 -6.473E+00  1.206111E+01  1.206111E+01
 -6.239E+00  1.206497E+01  1.206497E+01
 -6.005E+00  1.206950E+01  1.206950E+01
 -5.772E+00  1.207511E+01  1.207511E+01
 -5.540E+00  1.208219E+01  1.208219E+01
 -5.309E+00  1.209095E+01  1.209095E+01
